Run_ID,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ApplyTransformer,param_depth,param_initial_filter,param_junction,param_length,param_type_of_block,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
553,75.3798508644104,0.26993560791015625,5.58675742149353,0.00730133056640625,True,3,24,3,2,resnet,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 24, 'junction': 3, 'length': 2, 'type_of_block': 'resnet'}",0.36328125,0.296875,0.330078125,0.033203125,228
8,45.3091094493866,2.286818265914917,5.177706599235535,0.30003225803375244,False,3,4,1,4,inception,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 4, 'junction': 1, 'length': 4, 'type_of_block': 'inception'}",0.37109375,0.2890625,0.330078125,0.041015625,228
48,26.359832644462585,1.8480345010757446,3.3289637565612793,0.13167190551757812,False,3,4,3,2,inception,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 4, 'junction': 3, 'length': 2, 'type_of_block': 'inception'}",0.36328125,0.296875,0.330078125,0.033203125,228
259,46.77674424648285,0.22429978847503662,7.9854066371917725,0.12695574760437012,False,3,24,2,6,soft_att,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 24, 'junction': 2, 'length': 6, 'type_of_block': 'soft_att'}",0.2890625,0.37109375,0.330078125,0.041015625,228
505,60.46887946128845,1.715177059173584,5.267392635345459,0.17531418800354004,True,3,24,1,2,resnet,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 24, 'junction': 1, 'length': 2, 'type_of_block': 'resnet'}",0.38671875,0.26953125,0.328125,0.05859375,232
30,11.650277972221375,2.0315929651260376,2.0020960569381714,0.0027202367782592773,False,3,4,2,3,vgg,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 4, 'junction': 2, 'length': 3, 'type_of_block': 'vgg'}",0.37109375,0.28515625,0.328125,0.04296875,232
312,29.67785334587097,2.164438247680664,3.528998613357544,0.22620081901550293,True,3,4,2,2,inception,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 4, 'junction': 2, 'length': 2, 'type_of_block': 'inception'}",0.29296875,0.36328125,0.328125,0.03515625,232
70,21.781784892082214,0.7573035955429077,2.9961458444595337,0.09818637371063232,False,3,4,3,7,vgg,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 4, 'junction': 3, 'length': 7, 'type_of_block': 'vgg'}",0.29296875,0.36328125,0.328125,0.03515625,232
167,52.68314778804779,3.7492538690567017,8.408378601074219,0.4723072052001953,False,3,16,1,7,soft_att,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 16, 'junction': 1, 'length': 7, 'type_of_block': 'soft_att'}",0.37109375,0.28515625,0.328125,0.04296875,232
40,77.2295480966568,1.2741092443466187,7.879292130470276,0.026341795921325684,False,3,4,2,6,inception,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 4, 'junction': 2, 'length': 6, 'type_of_block': 'inception'}",0.2890625,0.36328125,0.326171875,0.037109375,237
475,56.395343542099,5.060525178909302,8.509404420852661,0.5627162456512451,True,3,16,2,6,soft_att,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 16, 'junction': 2, 'length': 6, 'type_of_block': 'soft_att'}",0.375,0.27734375,0.326171875,0.048828125,237
162,15.225733160972595,1.5454949140548706,2.3512866497039795,0.024335861206054688,False,3,16,1,6,vgg,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 16, 'junction': 1, 'length': 6, 'type_of_block': 'vgg'}",0.2890625,0.36328125,0.326171875,0.037109375,237
465,150.22455501556396,0.1568140983581543,9.055496335029602,0.12517821788787842,True,3,16,2,4,resnet,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 16, 'junction': 2, 'length': 4, 'type_of_block': 'resnet'}",0.36328125,0.28515625,0.32421875,0.0390625,240
547,54.373635053634644,0.5500423908233643,8.175482034683228,0.5566039085388184,True,3,24,2,6,soft_att,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 24, 'junction': 2, 'length': 6, 'type_of_block': 'soft_att'}",0.3828125,0.265625,0.32421875,0.05859375,240
264,29.140565991401672,0.05212581157684326,3.3804478645324707,0.03955531120300293,False,3,24,3,2,inception,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 24, 'junction': 3, 'length': 2, 'type_of_block': 'inception'}",0.28515625,0.36328125,0.32421875,0.0390625,240
108,58.845423579216,4.576927065849304,6.891457676887512,0.329400897026062,False,3,8,2,5,inception,"{'ApplyTransformer': False, 'depth': 3, 'initial_filter': 8, 'junction': 2, 'length': 5, 'type_of_block': 'inception'}",0.35546875,0.29296875,0.32421875,0.03125,240
431,64.19516062736511,0.5696687698364258,10.861288189888,0.1574639081954956,True,3,8,3,7,soft_att,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 8, 'junction': 3, 'length': 7, 'type_of_block': 'soft_att'}",0.35546875,0.29296875,0.32421875,0.03125,240
337,74.15744090080261,0.9456441402435303,6.017613649368286,0.14865946769714355,True,3,4,3,2,resnet,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 4, 'junction': 3, 'length': 2, 'type_of_block': 'resnet'}",0.32421875,0.3203125,0.322265625,0.001953125,245
307,46.609288930892944,0.21543455123901367,7.733862996101379,0.26310861110687256,True,3,4,1,6,soft_att,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 4, 'junction': 1, 'length': 6, 'type_of_block': 'soft_att'}",0.36328125,0.28125,0.322265625,0.041015625,245
405,371.29726123809814,13.143903493881226,13.783644080162048,0.49724066257476807,True,3,8,2,7,resnet,"{'ApplyTransformer': True, 'depth': 3, 'initial_filter': 8, 'junction': 2, 'length': 7, 'type_of_block': 'resnet'}",0.37109375,0.2734375,0.322265625,0.048828125,245
